FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
51,Polygon,9842,1727369.79,7141.933344,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,11450.61982,4448992.377,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
52,Polygon,9846,1202426.215,5888.739794,585,ju,"Jura, Unterer Jura (Lias)",ju,marine Ablagerungen,m,"Ton, Tonmergelstein, Kalkstein, Sandstein; ôlschiefer","^t,^mt,^k,^s,^bit", ,9441.558594,3096693.87,"Jurassic, Lower","Jurassic, Lower","Jurassic, Lower"
53,Polygon,9849,2455240.386,9001.154547,507,tmi,"TertiÑr, MiozÑn",tmi,limnisch - fluviatile Ablagerungen,l-f,"Sand, Ton; braunkohlefÅhrend, Kalksteinlagen","S,T;^brk,lag(^k)", ,14450.39424,6320939.519,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
54,Polygon,9852,742637.608,3270.093899,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",5246.568725,1912328.365,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
55,Polygon,9871,3164208.866,6906.816883,500,t,TertiÑr,t, , , , , ,11077.59575,8144486.141,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
56,Polygon,9873,317629.3316,2224.608762,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3571.115793,817738.748,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
57,Polygon,9884,1278080.266,4277.264477,603,mo,"Trias, Oberer Muschelkalk",mo,marine Ablagerungen,m,"gebankter Kalkstein und Mergelstein, sandiger Dolomitstein, Tonstein, Sandstein","^k(bk),^m(bk),^d(s),^t,^s", ,6860.991183,3289297.041,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
58,Polygon,9888,1204497.798,4094.57913,603,mo,"Trias, Oberer Muschelkalk",mo,marine Ablagerungen,m,"gebankter Kalkstein und Mergelstein, sandiger Dolomitstein, Tonstein, Sandstein","^k(bk),^m(bk),^d(s),^t,^s", ,6567.17081,3099892.314,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
59,Polygon,9892,2039884.339,7235.557778,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,11612.36295,5247675.413,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
60,Polygon,9894,4089885.918,12204.36219,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,19579.91057,10518738.55,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
