OBJECTID *,Shape *,Bundesland-ID,Bundesland,Geo_ID,Kürzel,Formation,Petrographie,Subgruppe,Gruppe,Subserie,Serie,Subsystem,System,Shape_Length,Shape_Area
82,Polygon,1,Hessen,65,dm,"Mitteldevon, ungegliedert","Tonschiefer, Sandstein, Quarzit", , , ,Mitteldevon, ,Devon,430382.8923,71461441.45
83,Polygon,1,Hessen,66,dzo,"Oberems-Stufe, ungegliedert","Tonschiefer, Flaserschiefer, Sandstein, Grauwacke, Kalkstein",Oberemsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,788846.1672,212998563.2
84,Polygon,2,andere,66,dzo,"Oberems-Stufe, ungegliedert","Tonschiefer, Flaserschiefer, Sandstein, Grauwacke, Kalkstein",Oberemsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,13437.41843,2058068.096
85,Polygon,1,Hessen,67,dzoEq,Emsquarzit-Formation,Quarzit,Oberemsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,393795.9131,63308449.95
86,Polygon,2,andere,67,dzoEq,Emsquarzit-Formation,Quarzit,Oberemsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,2655.148549,189008.1709
87,Polygon,1,Hessen,68,dzu,"Unterems-Stufe, ungegliedert; im Sauerland örtlich mit Schichten der Siegen-Stufe zusammengefasst","Tonschiefer, Sandstein, rhyolithische Metavulkaniklastite (""Porphyroide"")",Unteremsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,818204.2284,495775766.9
88,Polygon,2,andere,68,dzu,"Unterems-Stufe, ungegliedert; im Sauerland örtlich mit Schichten der Siegen-Stufe zusammengefasst","Tonschiefer, Sandstein, rhyolithische Metavulkaniklastite (""Porphyroide"")",Unteremsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,11505.97268,1792525.321
89,Polygon,1,Hessen,69,dzHU,Hunsrückschiefer,"Tonschiefer, Bänderschiefer",Unteremsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,431543.2312,354026807
90,Polygon,2,andere,69,dzHU,Hunsrückschiefer,"Tonschiefer, Bänderschiefer",Unteremsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,23243.96066,3970643.48
91,Polygon,2,andere,83,Am,Amphibolite des Odenwaldes und Spessarts,Amphibolit, , , , , ,Ordoviz—Devon,2694.057431,142415.2965
